tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,0061581-11.2023.8.19.0000,11881,AGRAVO EM RECURSO ESPECIAL,8961.0,27/09/2024,Eletronico,12728,Baixado,22/05/2024,,,8961.0,Antecipacao de Tutela / Tutela Especifica
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,0061581-11.2023.8.19.0000,11881,AGRAVO EM RECURSO ESPECIAL,4703.0,27/09/2024,Eletronico,12728,Baixado,22/05/2024,,,4703.0,"Defeito, nulidade ou anulacao"
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,6,5000299-03.2011.8.21.0047,11881,AGRAVO EM RECURSO ESPECIAL,9609.0,27/06/2024,Eletronico,12728,Baixado,01/04/2024,,,9609.0,Locacao de Movel
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,6,5000299-03.2011.8.21.0047,11881,AGRAVO EM RECURSO ESPECIAL,9614.0,27/06/2024,Eletronico,12728,Baixado,01/04/2024,,,9614.0,Benfeitorias
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,2185473-59.2022.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,7619.0,26/08/2024,Eletronico,12728,Baixado,24/05/2024,,,7619.0,Consorcio
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,2185473-59.2022.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,8843.0,26/08/2024,Eletronico,12728,Baixado,24/05/2024,,,8843.0,Assistencia Judiciaria Gratuita
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,10,0811155-45.2022.8.10.0000,11881,AGRAVO EM RECURSO ESPECIAL,9517.0,07/10/2024,Eletronico,12728,Baixado,26/06/2024,,,9517.0,Causas Supervenientes a Sentenca
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,10,0811155-45.2022.8.10.0000,11881,AGRAVO EM RECURSO ESPECIAL,10703.0,07/10/2024,Eletronico,12728,Baixado,26/06/2024,,,10703.0,"Indice de 11,98%"
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,1005415-35.2022.8.26.0564,1032,RECURSO ESPECIAL,6107.0,06/09/2024,Eletronico,12728,Baixado,13/05/2024,,,6107.0,Auxilio-Acidente (Art. 86)
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,0803923-98.2022.8.12.0008,11881,AGRAVO EM RECURSO ESPECIAL,4840.0,20/09/2024,Eletronico,12728,Baixado,26/06/2024,,,4840.0,Equivalencia salarial
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,1017479-15.2019.8.26.0554,11881,AGRAVO EM RECURSO ESPECIAL,10450.0,08/08/2024,Eletronico,12728,Baixado,03/04/2024,,,10450.0,Adjudicacao Compulsoria
