tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000093-11.2024.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,4355,2024-04-04,Eletronico,82294,Baixado,2024-02-20,,,4355,Prisao Preventiva
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000093-11.2024.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11165,2024-04-04,Eletronico,82294,Baixado,2024-02-20,,,11165,Furto qualificado
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000093-11.2024.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11367,2024-04-04,Eletronico,82294,Baixado,2024-02-20,,,11367,Falso testemunho ou falsa pericia
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,10,7000184-72.2022.7.00.0000,417,APELACAO CRIMINAL,10952,2024-10-23,Eletronico,82294,Baixado,2022-03-17,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,10,7000184-72.2022.7.00.0000,417,APELACAO CRIMINAL,11294,2024-10-23,Eletronico,82294,Baixado,2022-03-17,,,11294,Publicacao ou critica indevida
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000124-65.2023.7.00.0000,417,APELACAO CRIMINAL,10952,2024-03-07,Eletronico,82294,Baixado,2023-02-17,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000124-65.2023.7.00.0000,417,APELACAO CRIMINAL,11295,2024-03-07,Eletronico,82294,Baixado,2023-02-17,,,11295,Recusa a obediencia
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,7,7000186-08.2023.7.00.0000,417,APELACAO CRIMINAL,10952,2024-07-18,Eletronico,82294,Baixado,2023-03-07,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,7,7000186-08.2023.7.00.0000,417,APELACAO CRIMINAL,3397,2024-07-18,Eletronico,82294,Baixado,2023-03-07,,,3397,Injuria
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,7,7000186-08.2023.7.00.0000,417,APELACAO CRIMINAL,8919,2024-07-18,Eletronico,82294,Baixado,2023-03-07,,,8919,Nulidade
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7000430-34.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11167,2024-09-03,Eletronico,82294,Baixado,2023-05-24,,,11167,Estelionato
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7000430-34.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,4371,2024-09-03,Eletronico,82294,Baixado,2023-05-24,,,4371,Rejeicao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000528-19.2023.7.00.0000,417,APELACAO CRIMINAL,10940,2024-05-03,Eletronico,82294,Baixado,2023-06-30,,,10940,Depoimento
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000528-19.2023.7.00.0000,417,APELACAO CRIMINAL,11127,2024-05-03,Eletronico,82294,Baixado,2023-06-30,,,11127,Desercao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000528-19.2023.7.00.0000,417,APELACAO CRIMINAL,11107,2024-05-03,Eletronico,82294,Baixado,2023-06-30,,,11107,Estado de Necessidade exculpante
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,6,7000392-22.2023.7.00.0000,417,APELACAO CRIMINAL,11167,2024-06-03,Eletronico,82294,Baixado,2023-05-09,,,11167,Estelionato
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,6,7000392-22.2023.7.00.0000,417,APELACAO CRIMINAL,11071,2024-06-03,Eletronico,82294,Baixado,2023-05-09,,,11071,Crime Tentado
